ec_id	go_id
1.19.6.1	GO:0050142
1.2.1.10	GO:0008774
1.2.1.105	GO:0034602
1.2.1.11	GO:0004073
1.2.1.12	GO:0004365
1.2.1.13	GO:0047100
1.2.1.15	GO:0033722
1.2.1.16	GO:0009013
1.2.1.17	GO:0047968
1.2.1.18	GO:0018478
1.2.1.19	GO:0019145,GO:0033737
1.2.1.20	GO:0102810
1.2.1.21	GO:0050569
1.2.1.22	GO:0008911
1.2.1.23	GO:0047551
1.2.1.24	GO:0004777
1.2.1.25	GO:0047101
1.2.1.26	GO:0047533
1.2.1.27	GO:0004491
1.2.1.28	GO:0018479
1.2.1.29	GO:0019108
1.2.1.3	GO:0004029,GO:0043878
1.2.1.30	GO:0047683
1.2.1.31	GO:0004043
1.2.1.32	GO:0047102
1.2.1.33	GO:0047509
1.2.1.36	GO:0001758
1.2.1.38	GO:0003942
1.2.1.39	GO:0008957
1.2.1.4	GO:0033721
1.2.1.41	GO:0004350
1.2.1.42	GO:0047104
1.2.1.44	GO:0016621
1.2.1.46	GO:0018467
1.2.1.47	GO:0047105
1.2.1.48	GO:0050061
1.2.1.49	GO:0047552
1.2.1.5	GO:0004030
1.2.1.50	GO:0050062
1.2.1.51	GO:0050243
1.2.1.52	GO:0034601,GO:0050164
1.2.1.53	GO:0047106
1.2.1.54	GO:0047107
1.2.1.57	GO:0047759
1.2.1.58	GO:0047110
1.2.1.59	GO:0043891
1.2.1.60	GO:0018480
1.2.1.61	GO:0018481
1.2.1.62	GO:0018482
1.2.1.63	GO:0018483
1.2.1.64	GO:0018484
1.2.1.65	GO:0018485
1.2.1.67	GO:0050608
1.2.1.68	GO:0050269
1.2.1.69	GO:0033723
1.2.1.7	GO:0018477
1.2.1.70	GO:0008883
1.2.1.71	GO:0043824
1.2.1.72	GO:0048001
1.2.1.73	GO:0102984
1.2.1.74	GO:0036188
1.2.1.79	GO:0036243
1.2.1.8	GO:0008802
