reaction_id	kegg_orthologs	kegg_ec
R04886		
R11423	K21263	2.4.1.-
R10767	K20579	6.1.2.2
R04743	K00022,K07514,K07515,K07516,K10527	1.1.1.35,1.1.1.211
R12280	K23152	2.5.1.148
R06346		1.14.11.-
R03193	K01924	6.3.2.8
R03084	K03785,K03786,K13830,K13832	4.2.1.10
R05301	K12744	1.14.20.1
R12447	K23891	2.1.1.-
R08007	K21372	2.4.1.286
R07072	K01253	3.3.2.9
R12884	K25524,K25525	
R07710	K14578,K14581,K18242,K18243	1.14.13.172
R03724		
R12532		3.6.1.69
R08780	K12554	2.3.2.-
R08046		1.7.1.-
R00369	K00827,K00830,K14272	2.6.1.44
R12928	K25594	2.1.1.380
R09387	K10533	3.3.2.8
R04661		2.4.3.8
R03284		4.1.2.-
R09429		
R03603		
R11133		
R11424		1.14.13.223
R06330		
R12222	K23145	1.14.11.60
R04282		
R08840	K12640	1.14.14.180
R03306		1.14.12.9
R03270	K00161,K00162,K00163	1.2.4.1
R09078	K03366,K18009	1.1.1.304
R06600		
R00665		3.5.1.20
R01754	K12446	2.7.1.46
R03964		1.14.13.44
R02004	K15097	4.2.3.10
R12837		
R05585		1.4.-.-
R02692		2.3.1.73
R07088	K07415	1.14.14.-
R01007		2.7.8.15
R11927		1.3.1.113
R11760		
R03822	K01833	6.3.1.9
R12959	K00485	1.8.1.-
R10278	K20508	4.4.1.26
R08094	K00022,K01782,K01825	1.1.1.35
R01593	K00460,K08022,K19246	1.13.11.33
R07792	K12637,K12638	1.14.14.147
R09610		4.2.3.62
R05130		
R02928	K21620	1.1.1.16
R09344		
R02836	K15680	1.1.1.146
R03433	K00911	2.7.1.127
R05166		3.2.1.140
R03758		1.1.1.381
R06122		2.8.2.11
R10794	K20980	1.14.14.125
R00015		2.4.1.99
R07720	K13263	2.4.1.170
R01120		
R10040	K01188,K05349,K05350	3.2.1.21
R06545	K21383	2.3.1.215
R02182		3.5.1.83
R04921		2.7.8.-
R08935	K12451	1.1.1.-
R07497	K09829	
R04813	K12405	4.2.1.107
R10976		3.5.1.117
R06385		1.1.1.296
R09742		1.1.5.7
R05680	K00096	1.1.1.261
R00089	K01768,K05851,K05873,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K11029,K11265,K22944	4.6.1.1
R03040		2.3.3.12
R00406	K14471,K14472	2.8.3.22
R09945	K16146	2.7.1.175
R03222	K00231	1.3.3.4
R04020	K01721,K20807	4.2.1.84
R08531		2.3.1.69
R06823		
R12032		1.14.19.59
R10217		1.1.1.-
R01279	K00232,K00249,K00255,K06445,K09479	1.3.3.6,1.3.8.7,1.3.8.8,1.3.8.9,1.3.99.-
R00529	K00955,K00956,K00957,K00958,K13811	2.7.7.4
R10699	K19563	2.6.1.105
R08533		2.4.1.126
R11490	K20262	1.10.3.16
R00943	K00288,K01938,K13402	6.3.4.3
R08020		
R07943	K07409	1.14.14.1
R05121		
R00545		3.5.1.17
R11682	K22092	3.2.1.-
R01573		2.7.1.54
R07986		
R08575		2.2.1.2
R00847	K00864	2.7.1.30
R03374	K21425	2.3.1.140
R10736		
R11198	K20218	1.14.13.-
R08655		1.14.13.-
R09522		1.21.1.1
R11161		1.14.14.21
R01739	K00090,K22229	1.1.1.215
R06745		
R04055		2.3.1.77
R10326	K17830	1.3.1.101
R01039	K18097	1.1.1.156
R02764		3.1.2.17
R02584		2.7.10.1,2.7.10.2,2.7.10.3,2.7.12.1,2.7.12.2
R06020		2.4.1.34
R06613	K03465	2.1.1.148
R04356		2.3.1.116
R06405		1.1.-.-
R11663	K21793	
R12292	K09654	2.4.1.313
R12397		6.2.1.57
R03486		2.4.1.228
R01372	K00457	1.13.11.27
R06192		2.4.1.-
R03765		
R02183		2.4.1.41
R11232		1.2.1.31
R09284	K20712	5.4.4.3
R12029		1.14.19.57
R01497	K00720	2.4.1.80
R09163		1.13.11.-
R07069	K00799,K04097,K13299,K23790	2.5.1.18
R02751		3.1.3.34
R01683		1.5.1.23
R02600	K15373	1.1.1.313
R11522	K00435,K25033	1.3.98.5
R06373		1.3.99.25
R08706	K02473,K22925	5.1.3.-
R02363	K00505	1.14.18.1
R01516	K01837	5.4.2.11
R04773	K01874	6.1.1.10
R03699		2.7.1.143
R04956	K00208,K00665,K00668,K07512,K10780	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-,2.3.1.85,2.3.1.86
R11699	K21937	2.1.1.340
R03240	K01819	5.3.1.26
R09663		2.4.1.266
R06337	K04125	1.14.11.13
R05975	K00741,K07970,K07971	2.4.1.149
R12347	K22097	3.1.1.105
R01078	K01012	2.8.1.6
R05956	K00715	2.4.1.62
R01352	K13700,K13704	3.1.1.23
R10889	K19109	
R10522		1.14.11.42
R05878		1.5.1.32
R00800		
R11627	K22012	6.3.5.12
